name, detector type, wavelength units, number of def points, central wavelength (nm), pivot wavelength (nm), effective wavelength (nm), Vega mag (mag), Vega flux (flam), Vega flux (Jy), AB mag (mag), AB flux (flam), AB flux (Jy), ST mag (mag), ST flux (flam), ST flux (Jy)
SDSS_i, photon, nm, 89, 749.97, 748.998, 743.95, 22.1361, 1.39812e-09, 2616.28, 21.7804, 1.94026e-09, 3630.78, 21.1, 3.63078e-09, 6794.23
SDSS_r, photon, nm, 75, 618.519, 617.558, 612.233, 21.5037, 2.50325e-09, 3184.48, 21.3613, 2.85407e-09, 3630.78, 21.1, 3.63078e-09, 4618.86
SDSS_u, photon, nm, 47, 356.179, 355.652, 359.493, 21.0876, 3.67248e-09, 1549.49, 20.1631, 8.60536e-09, 3630.78, 21.1, 3.63078e-09, 1531.9
SDSS_z, photon, nm, 141, 896.149, 894.671, 889.706, 22.6841, 8.44006e-10, 2253.47, 22.1663, 1.35986e-09, 3630.78, 21.1, 3.63078e-09, 9694.07
SPITZER_IRAC_36, photon, nm, 505, 3563.43, 3556.93, 3513.43, 27.9484, 6.6167e-12, 279.235, 25.1633, 8.60341e-11, 3630.78, 21.1, 3.63078e-09, 153225
SPITZER_IRAC_45, photon, nm, 417, 4511.01, 4502.02, 4442.57, 28.9331, 2.67157e-12, 180.618, 25.675, 5.37039e-11, 3630.78, 21.1, 3.63078e-09, 245468
SPITZER_IRAC_58, photon, nm, 370, 5759.34, 5745.04, 5647.34, 29.9551, 1.04225e-12, 114.746, 26.2044, 3.29788e-11, 3630.78, 21.1, 3.63078e-09, 399729
SPITZER_IRAC_80, photon, nm, 421, 7959.49, 7915.77, 7617.14, 31.292, 3.04242e-13, 63.5894, 26.9004, 1.73714e-11, 3630.78, 21.1, 3.63078e-09, 758866
STROMGREN_b, energy, nm, 30, 466.901, 466.625, 466.326, 20.5982, 5.76409e-09, 4186.44, 20.7528, 4.99903e-09, 3630.78, 21.1, 3.63078e-09, 2637.03
STROMGREN_u, energy, nm, 28, 345.056, 344.36, 344.751, 21.2378, 3.1979e-09, 1264.94, 20.093, 9.17901e-09, 3630.78, 21.1, 3.63078e-09, 1436.16
STROMGREN_v, energy, nm, 35, 410.94, 410.546, 411.037, 20.3407, 7.30638e-09, 4107.76, 20.4748, 6.45798e-09, 3630.78, 21.1, 3.63078e-09, 2041.28
STROMGREN_y, energy, nm, 30, 547.803, 547.517, 547.242, 21.1052, 3.61327e-09, 3613.06, 21.0999, 3.63099e-09, 3630.78, 21.1, 3.63078e-09, 3630.57
SkyMapper_g, photon, nm, 55, 509.944, 507.519, 496.846, 20.873, 4.47525e-09, 3845.05, 20.9352, 4.22586e-09, 3630.78, 21.1, 3.63078e-09, 3119.5
SkyMapper_i, photon, nm, 41, 777.837, 776.798, 771.294, 22.2603, 1.24709e-09, 2510.11, 21.8595, 1.80387e-09, 3630.78, 21.1, 3.63078e-09, 7307.94
SkyMapper_r, photon, nm, 51, 615.728, 613.844, 604.006, 21.4759, 2.56828e-09, 3228.03, 21.3482, 2.88871e-09, 3630.78, 21.1, 3.63078e-09, 4563.47
SkyMapper_u, photon, nm, 19, 349.662, 349.336, 349.815, 21.2251, 3.2355e-09, 1317.06, 20.1242, 8.91937e-09, 3630.78, 21.1, 3.63078e-09, 1477.97
SkyMapper_v, photon, nm, 16, 383.771, 383.593, 387.093, 20.6307, 5.59377e-09, 2745.52, 20.3273, 7.39741e-09, 3630.78, 21.1, 3.63078e-09, 1782.05
SkyMapper_z, photon, nm, 51, 916.171, 914.599, 909.15, 22.7399, 8.01749e-10, 2237.07, 22.2141, 1.30124e-09, 3630.78, 21.1, 3.63078e-09, 10130.7
TESS, energy, nm, 561, 797.236, 769.76, 745.565, 22.1815, 1.34093e-09, 2650.31, 21.8397, 1.837e-09, 3630.78, 21.1, 3.63078e-09, 7176.13
TYCHO_B_MvB, energy, nm, 99, 422.039, 419.496, 421.976, 20.453, 6.58862e-09, 3867.49, 20.5216, 6.18536e-09, 3630.78, 21.1, 3.63078e-09, 2131.25
TYCHO_V_MvB, energy, nm, 99, 535.217, 530.019, 525.801, 21.0097, 3.94573e-09, 3697.34, 21.0294, 3.8747e-09, 3630.78, 21.1, 3.63078e-09, 3402.21
WISE_RSR_W1, photon, nm, 398, 3379.19, 3368.22, 3292.18, 27.7104, 8.23818e-12, 311.755, 25.045, 9.59442e-11, 3630.78, 21.1, 3.63078e-09, 137398
WISE_RSR_W2, photon, nm, 548, 4629.3, 4617.91, 4542.39, 29.0354, 2.43139e-12, 172.952, 25.7302, 5.10422e-11, 3630.78, 21.1, 3.63078e-09, 258268
WISE_RSR_W3, photon, nm, 2559, 12333.8, 12073, 10302.2, 32.9564, 6.56818e-14, 31.9342, 27.817, 7.46773e-12, 3630.78, 21.1, 3.63078e-09, 1.76527e+06
WISE_RSR_W4, photon, nm, 2559, 22253.2, 22194.3, 21810.3, 35.7538, 4.99456e-15, 8.20653, 29.1392, 2.20972e-12, 3630.78, 21.1, 3.63078e-09, 5.96571e+06
ZTF_g, photon, nm, 2593, 480.482, 478.945, 472.281, 20.7023, 5.23697e-09, 4007.09, 20.8094, 4.74515e-09, 3630.78, 21.1, 3.63078e-09, 2778.11
ZTF_i, photon, nm, 4001, 796.822, 795.493, 788.607, 22.3413, 1.15744e-09, 2443.16, 21.9111, 1.72008e-09, 3630.78, 21.1, 3.63078e-09, 7663.94
ZTF_r, photon, nm, 3201, 643.692, 642.117, 633.959, 21.627, 2.23461e-09, 3073.33, 21.446, 2.63993e-09, 3630.78, 21.1, 3.63078e-09, 4993.52
